номер,название сервера,серийный номер сервера,партийный номер сервера,компонент,количество,партийный номер компонента,описание компонента
1,R740XD vSAN Ready Node,13XWTC3,6WXJT,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz
,,,,DIMM,12,36ASF8G72PZ-3G2E1,DDR4 DIMM; 36ASF8G72PZ-3G2E1
,,,,PS,2,0CMPGMA03,"Power Supply 1; PWR SPLY,1100W,RDNT,LTON"
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00W9-A00,Disk 0 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02D7-A00,Disk 1 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02CB-A00,Disk 2 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00T9-A00,Disk 3 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00T2-A00,Disk 4 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00W8-A00,Disk 5 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00T1-A00,Disk 6 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SX-A00,Disk 7 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-10GF-A00,Disk 24 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-10GH-A00,Disk 25 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,Drive,1,CN-0DMC15-PESIT-0CP-070J-A02,Disk 0 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,Drive,1,CN-0DMC15-PESIT-0CP-070X-A02,Disk 1 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,PCI,4,NIC.Slot.2-2-1,NIC in Slot 2 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,1,AHCI.Slot.3-1,AHCI controller in slot 3; BOSS-S1 Adapter
,,,,PCI,2,FC.Slot.1-2,Fibre Channel in Slot 1 Port 2; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
2,PowerEdge R750,1TPCKT3,PJ80M,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz
,,,,DIMM,4,HMAA8GR7CJR4N-XN,DDR4 DIMM; HMAA8GR7CJR4N-XN
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-03397M-SK500-28G-04MR-A01,Disk 0 in Backplane 1 of RAID Controller in SL 3; HFS480G3H2X069N; 479559942144
,,,,Drive,1,S6EKNE0T709206,Disk 3 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,S6EKNE0T709211,Disk 2 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,KR-0VJM47-SSK00-1A1-02M5-A01,Disk 1 in Backplane 1 of RAID Controller in SL 3; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,4,NIC.Slot.7-2-1,NIC in Slot 7 Port 2 Partition 1; 4-port 1Gb Ethernet Adapter
,,,,PCI,1,RAID.SL.3-1,RAID Controller in SL 3; PERC H755 Front
3,PowerEdge R640,1VX37Y3,JXP9N,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz
,,,,DIMM,12,36ASF8G72PZ-3G2B2,DDR4 DIMM; 36ASF8G72PZ-3G2B2
,,,,PS,2,0G6CCKA02,"Power Supply 1; PWR SPLY,750W,RDNT,ARTESYN"
,,,,Drive,1,KR-03397M-SK500-2CT-00C8-A01,Disk 1 in Backplane 1 of RAID Controller in Slot 1; HFS480G3H2X069N; 479559942144
,,,,Drive,1,KR-03397M-SK500-2CT-00C9-A01,Disk 0 in Backplane 1 of RAID Controller in Slot 1; HFS480G3H2X069N; 479559942144
,,,,PCI,2,FC.Slot.2-2,Fibre Channel in Slot 2 Port 2; LPe31002-M6-D 2-Port 16Gb Fibre Channel Adapter
,,,,PCI,1,RAID.Slot.1-1,RAID Controller in Slot 1; PERC H350 Adapter
,,,,PCI,2,NIC.Slot.3-2-1,NIC in Slot 3 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
4,PowerEdge R640,279C7Y3,JXP9N,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz
,,,,DIMM,12,36ASF8G72PZ-3G2B2,DDR4 DIMM; 36ASF8G72PZ-3G2B2
,,,,PS,2,0KTW3MA00,"Power Supply 1; PWR SPLY,750W,RDNT,LTON"
,,,,Drive,1,KR-03397M-SK500-2CS-051F-A01,Disk 1 in Backplane 1 of RAID Controller in Slot 1; HFS480G3H2X069N; 479559942144
,,,,Drive,1,KR-03397M-SK500-2CS-051I-A01,Disk 0 in Backplane 1 of RAID Controller in Slot 1; HFS480G3H2X069N; 479559942144
,,,,PCI,2,NIC.Slot.3-1-1,NIC in Slot 3 Port 1 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,2,FC.Slot.2-2,Fibre Channel in Slot 2 Port 2; LPe31002-M6-D 2-Port 16Gb Fibre Channel Adapter
,,,,PCI,1,RAID.Slot.1-1,RAID Controller in Slot 1; PERC H350 Adapter
5,PowerEdge R750,2H1XXP3,6V45N,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz
,,,,DIMM,12,M393A8G40AB2-CWE,DDR4 DIMM; M393A8G40AB2-CWE
,,,,PS,2,0C8T2PA04,"Power Supply 1; PWR SPLY,800W,RDNT,LTON"
,,,,Drive,1,KR-0VJM47-SSK00-1A1-02M3-A01,Disk 1 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,Drive,1,KR-0VJM47-SSK00-1AC-04TE-A01,Disk 0 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,4,NIC.Slot.1-2-1,NIC in Slot 1 Port 2 Partition 1; Ethernet Server Adapter I350-T4
,,,,PCI,2,FC.Slot.7-2,Fibre Channel in Slot 7 Port 2; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
,,,,PCI,2,NIC.Slot.2-2-1,NIC in Slot 2 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,1,RAID.SL.1-1,RAID Controller in SL 1; PERC H755 Front
6,PowerEdge R750,2SPCKT3,PJ80M,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz
,,,,DIMM,4,HMAA8GR7CJR4N-XN,DDR4 DIMM; HMAA8GR7CJR4N-XN
